产品名称,发货前天数（实际）,发货前天数（计划）,每笔订单利润,销售额预测,每名客户销售额,装运状态,利润率,利润,发货日期,国家,地区,城市,子类别,客户名称,折扣,数量,省/自治区,类别,细分,订单 ID,订单日期,邮寄方式,销售额
"Rogers 文件车, 单宽度",2,3,"1,322","4,330","3,305",提前装运,40%,"1,322",2014/1/3,中国,中南,常德,收纳具,邢宁,0%,5,湖南,办公用品,公司,CN-2014-4870971,2014/1/1,二级,"3,305"
"Barricks 圆桌, 白色",2,3,-635,"6,931","5,289",提前装运,-12%,-635,2014/1/3,中国,中南,常德,桌子,邢宁,25%,3,湖南,家具,公司,CN-2014-4870971,2014/1/1,二级,"5,289"
"诺基亚 智能手机, 整包",2,3,69,"2,261","1,725",提前装运,4%,69,2014/1/3,中国,中南,常德,电话,邢宁,0%,3,湖南,技术,公司,CN-2014-4870971,2014/1/1,二级,"1,725"
"贝尔金 记忆卡, 实惠",2,3,611,"2,106","1,607",提前装运,38%,611,2014/1/3,中国,中南,常德,配件,邢宁,0%,3,湖南,技术,公司,CN-2014-4870971,2014/1/1,二级,"1,607"
"Rogers 盒, 工业",5,3,128,598,456,延迟装运,28%,128,2014/1/7,中国,华东,江口,收纳具,俞毅,0%,4,福建,办公用品,消费者,CN-2014-5525339,2014/1/2,二级,456
"SAFCO 折叠椅, 黑色",5,3,23,509,389,延迟装运,6%,23,2014/1/7,中国,华东,江口,椅子,俞毅,0%,1,福建,家具,消费者,CN-2014-5525339,2014/1/2,二级,389
"佳能 墨水, 红色",5,3,793,"2,667","2,035",延迟装运,39%,793,2014/1/7,中国,华东,江口,复印机,俞毅,0%,3,福建,技术,消费者,CN-2014-5525339,2014/1/2,二级,"2,035"
"诺基亚 充电器, 混合尺寸",5,3,"9,809","27,349","20,871",延迟装运,47%,"9,809",2014/1/7,中国,华东,江口,电话,俞毅,0%,7,福建,技术,消费者,CN-2014-5525339,2014/1/2,二级,"20,871"
"罗技 鼠标, 回收",5,3,83,331,253,延迟装运,33%,83,2014/1/7,中国,华东,江口,配件,俞毅,0%,2,福建,技术,消费者,CN-2014-5525339,2014/1/2,二级,253
"Cuisinart 冰箱, 白色",7,6,692,"9,067","6,919",延迟装运,10%,692,2014/1/9,中国,华东,上海,器具,麦虢,0%,3,上海,办公用品,公司,CN-2014-5834678,2014/1/2,标准级,"6,919"
"贝尔金 键区, 回收",7,6,414,"2,718","2,074",延迟装运,20%,414,2014/1/9,中国,华东,上海,配件,麦虢,0%,8,上海,技术,公司,CN-2014-5834678,2014/1/2,标准级,"2,074"
"Cuisinart 炉灶, 白色",6,6,700,"13,778","10,514",准时装运,7%,700,2014/1/9,中国,东北,桓仁,器具,牛惠,40%,7,辽宁,办公用品,小型企业,US-2014-5165630,2014/1/3,标准级,"10,514"
"KitchenAid 冰箱, 黑色",6,6,-566,"1,935","1,477",准时装运,-38%,-566,2014/1/9,中国,东北,桓仁,器具,牛惠,40%,1,辽宁,办公用品,小型企业,US-2014-5165630,2014/1/3,标准级,"1,477"
"Ibico 装订机盖, 透明",6,6,-71,241,184,准时装运,-38%,-71,2014/1/9,中国,东北,桓仁,装订机,牛惠,40%,5,辽宁,办公用品,小型企业,US-2014-5165630,2014/1/3,标准级,184
"Harbour Creations 椅垫, 红色",6,6,-27,528,403,准时装运,-7%,-27,2014/1/9,中国,东北,桓仁,椅子,牛惠,40%,2,辽宁,家具,小型企业,US-2014-5165630,2014/1/3,标准级,403
"佳能 墨水, 数字化",6,6,96,"1,077",822,准时装运,12%,96,2014/1/9,中国,东北,桓仁,复印机,牛惠,40%,2,辽宁,技术,小型企业,US-2014-5165630,2014/1/3,标准级,822
"思科 充电器, 混合尺寸",6,6,"-1,832","4,801","3,664",准时装运,-50%,"-1,832",2014/1/9,中国,东北,桓仁,电话,牛惠,40%,2,辽宁,技术,小型企业,US-2014-5165630,2014/1/3,标准级,"3,664"
"Avery 文件夹标签, 可调",4,6,229,601,459,提前装运,50%,229,2014/1/8,中国,中南,深圳,标签,陶丽雪,0%,14,广东,办公用品,公司,CN-2014-1708265,2014/1/4,标准级,459
"Hon 咖啡桌, 黑色",4,6,29,"2,898","2,211",提前装运,1%,29,2014/1/8,中国,中南,深圳,桌子,陶丽雪,25%,2,广东,家具,公司,CN-2014-1708265,2014/1/4,标准级,"2,211"
"Green Bar 笔记本, 优质",5,3,333,911,695,延迟装运,48%,333,2014/1/9,中国,华东,金沙,纸张,徐虹,0%,5,江苏,办公用品,公司,US-2014-1166331,2014/1/4,二级,695
"Hon 摇椅, 每套两件",5,3,-261,"1,463","1,116",延迟装运,-23%,-261,2014/1/9,中国,华东,金沙,椅子,徐虹,40%,3,江苏,家具,公司,US-2014-1166331,2014/1/4,二级,"1,116"
"Novimex 摇椅, 红色",5,3,-552,"4,340","3,312",延迟装运,-17%,-552,2014/1/9,中国,华东,金沙,椅子,徐虹,40%,9,江苏,家具,公司,US-2014-1166331,2014/1/4,二级,"3,312"
"Accos 按钉, 金属",2,1,119,448,342,延迟装运,35%,119,2014/1/7,中国,中南,珠海,系固件,卢芳,0%,5,广东,办公用品,消费者,CN-2014-4800042,2014/1/5,一级,342
"Rogers 锁柜, 蓝色",3,3,"1,826","6,470","4,938",准时装运,37%,"1,826",2014/1/8,中国,华北,保定,收纳具,廖乐,0%,5,河北,办公用品,消费者,CN-2014-5172330,2014/1/5,二级,"4,938"
"Smead 盒, 单宽度",3,3,155,462,353,准时装运,44%,155,2014/1/8,中国,华北,保定,收纳具,廖乐,0%,7,河北,办公用品,消费者,CN-2014-5172330,2014/1/5,二级,353
